LAUS_Area_Code,State,County,Area_Title,,Period,Civilian_Labor_Force,Employed,Unemployed_level,Unemployed_rate,early
CN0400500000000,4,5,Coconino County, AZ,10/1/2020,74941,69529,5412,7.2,1
CN0400700000000,4,7,Gila County, AZ,10/1/2020,20988,19709,1279,6.1,1
CN0400900000000,4,9,Graham County, AZ,10/1/2020,16270,15481,789,4.8,1
CN0401100000000,4,11,Greenlee County, AZ,10/1/2020,4417,4195,222,5,1
CN0401200000000,4,12,La Paz County, AZ,10/1/2020,9253,8737,516,5.6,1
CN0401300000000,4,13,Maricopa County, AZ,10/1/2020,2320245,2179099,141146,6.1,1
CN0401500000000,4,15,Mohave County, AZ,10/1/2020,87610,81297,6313,7.2,1
CN0401700000000,4,17,Navajo County, AZ,10/1/2020,40628,37524,3104,7.6,1
CN0401900000000,4,19,Pima County, AZ,10/1/2020,489785,458499,31286,6.4,1
CN0402100000000,4,21,Pinal County, AZ,10/1/2020,191578,180024,11554,6,1
CN0402300000000,4,23,Santa Cruz County, AZ,10/1/2020,18911,16933,1978,10.5,1
CN0402500000000,4,25,Yavapai County, AZ,10/1/2020,106874,100871,6003,5.6,1
CN0402700000000,4,27,Yuma County, AZ,10/1/2020,96052,83936,12116,12.6,1
CN0500100000000,5,1,Arkansas County, AR,10/1/2020,9331,9018,313,3.4,1
CN0500300000000,5,3,Ashley County, AR,10/1/2020,7069,6510,559,7.9,1
CN0500500000000,5,5,Baxter County, AR,10/1/2020,16202,15503,699,4.3,1
CN0500700000000,5,7,Benton County, AR,10/1/2020,139413,134507,4906,3.5,1
CN0500900000000,5,9,Boone County, AR,10/1/2020,15510,14921,589,3.8,1
CN0501100000000,5,11,Bradley County, AR,10/1/2020,4267,4081,186,4.4,1
CN0501300000000,5,13,Calhoun County, AR,10/1/2020,2402,2308,94,3.9,1
CN0501500000000,5,15,Carroll County, AR,10/1/2020,12727,12210,517,4.1,1
CN0501700000000,5,17,Chicot County, AR,10/1/2020,3220,2924,296,9.2,1
CN0501900000000,5,19,Clark County, AR,10/1/2020,9240,8825,415,4.5,1
CN0502100000000,5,21,Clay County, AR,10/1/2020,5446,5231,215,3.9,1
CN0502300000000,5,23,Cleburne County, AR,10/1/2020,8942,8442,500,5.6,1
CN0502500000000,5,25,Cleveland County, AR,10/1/2020,3182,3017,165,5.2,1
CN0502700000000,5,27,Columbia County, AR,10/1/2020,8929,8413,516,5.8,1
CN0502900000000,5,29,Conway County, AR,10/1/2020,8234,7878,356,4.3,1
CN0503100000000,5,31,Craighead County, AR,10/1/2020,54757,52492,2265,4.1,1
CN0503300000000,5,33,Crawford County, AR,10/1/2020,26002,24905,1097,4.2,1
CN0503500000000,5,35,Crittenden County, AR,10/1/2020,20792,19392,1400,6.7,1
CN0503700000000,5,37,Cross County, AR,10/1/2020,7144,6795,349,4.9,1
CN0503900000000,5,39,Dallas County, AR,10/1/2020,2827,2721,106,3.7,1
CN0504100000000,5,41,Desha County, AR,10/1/2020,5223,4922,301,5.8,1
CN0504300000000,5,43,Drew County, AR,10/1/2020,7597,7198,399,5.3,1
CN0504500000000,5,45,Faulkner County, AR,10/1/2020,59829,57402,2427,4.1,1
CN0504700000000,5,47,Franklin County, AR,10/1/2020,7408,7096,312,4.2,1
CN0504900000000,5,49,Fulton County, AR,10/1/2020,4818,4629,189,3.9,1
CN0505100000000,5,51,Garland County, AR,10/1/2020,40302,37705,2597,6.4,1
CN0505300000000,5,53,Grant County, AR,10/1/2020,8010,7690,320,4,1
CN0505500000000,5,55,Greene County, AR,10/1/2020,18964,18175,789,4.2,1
CN0505700000000,5,57,Hempstead County, AR,10/1/2020,9350,8992,358,3.8,1
CN0505900000000,5,59,Hot Spring County, AR,10/1/2020,13813,13185,628,4.5,1
CN0506100000000,5,61,Howard County, AR,10/1/2020,5472,5261,211,3.9,1
CN0506300000000,5,63,Independence County, AR,10/1/2020,16244,15539,705,4.3,1
CN0506500000000,5,65,Izard County, AR,10/1/2020,4494,4219,275,6.1,1
CN0506700000000,5,67,Jackson County, AR,10/1/2020,5762,5453,309,5.4,1
CN0506900000000,5,69,Jefferson County, AR,10/1/2020,26969,25040,1929,7.2,1
CN0507100000000,5,71,Johnson County, AR,10/1/2020,9928,9489,439,4.4,1
CN0507300000000,5,73,Lafayette County, AR,10/1/2020,2407,2236,171,7.1,1
CN0507500000000,5,75,Lawrence County, AR,10/1/2020,6757,6441,316,4.7,1
CN0507700000000,5,77,Lee County, AR,10/1/2020,2759,2593,166,6,1
CN0507900000000,5,79,Lincoln County, AR,10/1/2020,3796,3622,174,4.6,1
CN0508100000000,5,81,Little River County, AR,10/1/2020,5277,5008,269,5.1,1
CN0508300000000,5,83,Logan County, AR,10/1/2020,8514,8106,408,4.8,1
CN0508500000000,5,85,Lonoke County, AR,10/1/2020,32734,31286,1448,4.4,1
CN0508700000000,5,87,Madison County, AR,10/1/2020,7482,7240,242,3.2,1
CN0508900000000,5,89,Marion County, AR,10/1/2020,5979,5672,307,5.1,1
CN0509100000000,5,91,Miller County, AR,10/1/2020,18949,17961,988,5.2,1
CN0509300000000,5,93,Mississippi County, AR,10/1/2020,16768,15532,1236,7.4,1
CN0509500000000,5,95,Monroe County, AR,10/1/2020,2665,2511,154,5.8,1
CN0509700000000,5,97,Montgomery County, AR,10/1/2020,2995,2847,148,4.9,1
CN0509900000000,5,99,Nevada County, AR,10/1/2020,3445,3290,155,4.5,1
CN0510100000000,5,101,Newton County, AR,10/1/2020,3204,3100,104,3.2,1
CN0510300000000,5,103,Ouachita County, AR,10/1/2020,9598,9182,416,4.3,1
CN0510500000000,5,105,Perry County, AR,10/1/2020,4077,3913,164,4,1
CN0510700000000,5,107,Phillips County, AR,10/1/2020,6291,5831,460,7.3,1
CN0510900000000,5,109,Pike County, AR,10/1/2020,4247,4048,199,4.7,1
CN0511100000000,5,111,Poinsett County, AR,10/1/2020,9809,9386,423,4.3,1
CN0511300000000,5,113,Polk County, AR,10/1/2020,7871,7484,387,4.9,1
CN0511500000000,5,115,Pope County, AR,10/1/2020,27442,26291,1151,4.2,1
CN0511700000000,5,117,Prairie County, AR,10/1/2020,3611,3457,154,4.3,1
CN0511900000000,5,119,Pulaski County, AR,10/1/2020,183821,171896,11925,6.5,1
CN0512100000000,5,121,Randolph County, AR,10/1/2020,7423,7097,326,4.4,1
CN0512300000000,5,123,St. Francis County, AR,10/1/2020,7787,7265,522,6.7,1
CN0512500000000,5,125,Saline County, AR,10/1/2020,56557,54307,2250,4,1
CN0512700000000,5,127,Scott County, AR,10/1/2020,4311,4157,154,3.6,1
CN0512900000000,5,129,Searcy County, AR,10/1/2020,2781,2654,127,4.6,1
CN0513100000000,5,131,Sebastian County, AR,10/1/2020,55058,52522,2536,4.6,1
CN0513300000000,5,133,Sevier County, AR,10/1/2020,5405,5148,257,4.8,1
CN0513500000000,5,135,Sharp County, AR,10/1/2020,5605,5298,307,5.5,1
CN0513700000000,5,137,Stone County, AR,10/1/2020,4600,4345,255,5.5,1
CN0513900000000,5,139,Union County, AR,10/1/2020,15122,14114,1008,6.7,1
CN0514100000000,5,141,Van Buren County, AR,10/1/2020,5680,5364,316,5.6,1
CN0514300000000,5,143,Washington County, AR,10/1/2020,125627,121011,4616,3.7,1
CN0514500000000,5,145,White County, AR,10/1/2020,33211,31700,1511,4.5,1
CN0514700000000,5,147,Woodruff County, AR,10/1/2020,2795,2663,132,4.7,1
CN0514900000000,5,149,Yell County, AR,10/1/2020,7994,7697,297,3.7,1
CN0600100000000,6,1,Alameda County, CA,10/1/2020,812829,744319,68510,8.4,0
CN0600300000000,6,3,Alpine County, CA,10/1/2020,458,411,47,10.3,0
CN0600500000000,6,5,Amador County, CA,10/1/2020,14541,13377,1164,8,0
CN0600700000000,6,7,Butte County, CA,10/1/2020,92161,84827,7334,8,0
CN0600900000000,6,9,Calaveras County, CA,10/1/2020,21365,19946,1419,6.6,0
CN0601100000000,6,11,Colusa County, CA,10/1/2020,10606,9634,972,9.2,0
CN0601300000000,6,13,Contra Costa County, CA,10/1/2020,540515,494942,45573,8.4,0
CN0601500000000,6,15,Del Norte County, CA,10/1/2020,9401,8623,778,8.3,0
CN0601700000000,6,17,El Dorado County, CA,10/1/2020,91083,84953,6130,6.7,0
CN0601900000000,6,19,Fresno County, CA,10/1/2020,444044,400972,43072,9.7,0
CN0602100000000,6,21,Glenn County, CA,10/1/2020,12636,11776,860,6.8,0
CN0602300000000,6,23,Humboldt County, CA,10/1/2020,59562,55240,4322,7.3,0
CN0602500000000,6,25,Imperial County, CA,10/1/2020,67099,53703,13396,20,0
CN0602700000000,6,27,Inyo County, CA,10/1/2020,8292,7724,568,6.8,0
CN0602900000000,6,29,Kern County, CA,10/1/2020,388703,347465,41238,10.6,0
CN0603100000000,6,31,Kings County, CA,10/1/2020,55462,50053,5409,9.8,0
CN0603300000000,6,33,Lake County, CA,10/1/2020,28593,26222,2371,8.3,0
CN0603500000000,6,35,Lassen County, CA,10/1/2020,10042,9495,547,5.4,0
CN0603700000000,6,37,Los Angeles County, CA,10/1/2020,4945604,4354221,591383,12,0
CN0603900000000,6,39,Madera County, CA,10/1/2020,61003,55589,5414,8.9,0
CN0604100000000,6,41,Marin County, CA,10/1/2020,130998,123183,7815,6,0
CN0604300000000,6,43,Mariposa County, CA,10/1/2020,6985,6372,613,8.8,0
CN0604500000000,6,45,Mendocino County, CA,10/1/2020,36997,34114,2883,7.8,0
CN0604700000000,6,47,Merced County, CA,10/1/2020,115767,104570,11197,9.7,0
CN0604900000000,6,49,Modoc County, CA,10/1/2020,3318,3123,195,5.9,0
CN0605100000000,6,51,Mono County, CA,10/1/2020,7419,6665,754,10.2,0
CN0605300000000,6,53,Monterey County, CA,10/1/2020,213602,197747,15855,7.4,0
CN0605500000000,6,55,Napa County, CA,10/1/2020,68901,63813,5088,7.4,0
CN0605700000000,6,57,Nevada County, CA,10/1/2020,46611,43451,3160,6.8,0
CN0605900000000,6,59,Orange County, CA,10/1/2020,1554865,1427410,127455,8.2,0
CN0606100000000,6,61,Placer County, CA,10/1/2020,186307,174640,11667,6.3,0
CN0606300000000,6,63,Plumas County, CA,10/1/2020,7625,7054,571,7.5,0
CN0606500000000,6,65,Riverside County, CA,10/1/2020,1121037,1016442,104595,9.3,0
CN0606700000000,6,67,Sacramento County, CA,10/1/2020,716904,653816,63088,8.8,0
CN0606900000000,6,69,San Benito County, CA,10/1/2020,31198,28733,2465,7.9,0
CN0607100000000,6,71,San Bernardino County, CA,10/1/2020,984411,891544,92867,9.4,0
CN0607300000000,6,73,San Diego County, CA,10/1/2020,1541792,1412146,129646,8.4,0
CN0607500000000,6,75,San Francisco County/city, CA,10/1/2020,550262,508664,41598,7.6,0
CN0607700000000,6,77,San Joaquin County, CA,10/1/2020,335549,301469,34080,10.2,0
CN0607900000000,6,79,San Luis Obispo County, CA,10/1/2020,133290,124726,8564,6.4,0
CN0608100000000,6,81,San Mateo County, CA,10/1/2020,429581,401409,28172,6.6,0
CN0608300000000,6,83,Santa Barbara County, CA,10/1/2020,219314,204816,14498,6.6,0
CN0608500000000,6,85,Santa Clara County, CA,10/1/2020,1019032,953521,65511,6.4,0
CN0608700000000,6,87,Santa Cruz County, CA,10/1/2020,133075,123212,9863,7.4,0
CN0608900000000,6,89,Shasta County, CA,10/1/2020,74156,68742,5414,7.3,0
CN0609100000000,6,91,Sierra County, CA,10/1/2020,1333,1258,75,5.6,0
CN0609300000000,6,93,Siskiyou County, CA,10/1/2020,17319,16060,1259,7.3,0
CN0609500000000,6,95,Solano County, CA,10/1/2020,204639,186231,18408,9,0
CN0609700000000,6,97,Sonoma County, CA,10/1/2020,244334,227531,16803,6.9,0
CN0609900000000,6,99,Stanislaus County, CA,10/1/2020,242064,219402,22662,9.4,0
CN0610100000000,6,101,Sutter County, CA,10/1/2020,45370,41451,3919,8.6,0
CN0610300000000,6,103,Tehama County, CA,10/1/2020,26140,24229,1911,7.3,0
CN0610500000000,6,105,Trinity County, CA,10/1/2020,4594,4308,286,6.2,0
CN0610700000000,6,107,Tulare County, CA,10/1/2020,195058,173317,21741,11.1,0
CN0610900000000,6,109,Tuolumne County, CA,10/1/2020,19956,18224,1732,8.7,0
CN0611100000000,6,111,Ventura County, CA,10/1/2020,407702,376548,31154,7.6,0
CN0611300000000,6,113,Yolo County, CA,10/1/2020,106038,99145,6893,6.5,0
CN0611500000000,6,115,Yuba County, CA,10/1/2020,30135,27331,2804,9.3,0
CN0800100000000,8,1,Adams County, CO,10/1/2020,277269,256457,20812,7.5,0
CN0800300000000,8,3,Alamosa County, CO,10/1/2020,8936,8441,495,5.5,0
CN0800500000000,8,5,Arapahoe County, CO,10/1/2020,369836,342010,27826,7.5,0
CN0800700000000,8,7,Archuleta County, CO,10/1/2020,7600,7179,421,5.5,0
CN0800900000000,8,9,Baca County, CO,10/1/2020,2473,2431,42,1.7,0
CN0801100000000,8,11,Bent County, CO,10/1/2020,2079,2000,79,3.8,0
CN0801300000000,8,13,Boulder County, CO,10/1/2020,193588,182881,10707,5.5,0
CN0801400000000,8,14,Broomfield County/city, CO,10/1/2020,40430,38039,2391,5.9,0
CN0801500000000,8,15,Chaffee County, CO,10/1/2020,10004,9508,496,5,0
CN0801700000000,8,17,Cheyenne County, CO,10/1/2020,1266,1237,29,2.3,0
CN0801900000000,8,19,Clear Creek County, CO,10/1/2020,6134,5706,428,7,0
CN0802100000000,8,21,Conejos County, CO,10/1/2020,4423,4232,191,4.3,0
CN0802300000000,8,23,Costilla County, CO,10/1/2020,1953,1824,129,6.6,0
CN0802500000000,8,25,Crowley County, CO,10/1/2020,1624,1536,88,5.4,0
CN0802700000000,8,27,Custer County, CO,10/1/2020,2141,2050,91,4.3,0
CN0802900000000,8,29,Delta County, CO,10/1/2020,15312,14490,822,5.4,0
CN0803100000000,8,31,Denver County/city, CO,10/1/2020,427352,393691,33661,7.9,0
CN0803300000000,8,33,Dolores County, CO,10/1/2020,1252,1191,61,4.9,0
CN0803500000000,8,35,Douglas County, CO,10/1/2020,195629,185746,9883,5.1,0
CN0803700000000,8,37,Eagle County, CO,10/1/2020,34426,31897,2529,7.3,0
CN0803900000000,8,39,Elbert County, CO,10/1/2020,15370,14785,585,3.8,0
CN0804100000000,8,41,El Paso County, CO,10/1/2020,348424,326211,22213,6.4,0
CN0804300000000,8,43,Fremont County, CO,10/1/2020,15824,14715,1109,7,0
CN0804500000000,8,45,Garfield County, CO,10/1/2020,31494,29725,1769,5.6,0
CN0804700000000,8,47,Gilpin County, CO,10/1/2020,3897,3607,290,7.4,0
CN0804900000000,8,49,Grand County, CO,10/1/2020,8765,8210,555,6.3,0
CN0805100000000,8,51,Gunnison County, CO,10/1/2020,11348,10839,509,4.5,0
CN0805300000000,8,53,Hinsdale County, CO,10/1/2020,400,386,14,3.5,0
CN0805500000000,8,55,Huerfano County, CO,10/1/2020,2813,2592,221,7.9,0
CN0805700000000,8,57,Jackson County, CO,10/1/2020,1084,1053,31,2.9,0
CN0805900000000,8,59,Jefferson County, CO,10/1/2020,335360,313956,21404,6.4,0
CN0806100000000,8,61,Kiowa County, CO,10/1/2020,1110,1089,21,1.9,0
CN0806300000000,8,63,Kit Carson County, CO,10/1/2020,4732,4624,108,2.3,0
CN0806500000000,8,65,Lake County, CO,10/1/2020,4707,4385,322,6.8,0
CN0806700000000,8,67,La Plata County, CO,10/1/2020,32433,30599,1834,5.7,0
CN0806900000000,8,69,Larimer County, CO,10/1/2020,208632,197365,11267,5.4,0
CN0807100000000,8,71,Las Animas County, CO,10/1/2020,6884,6415,469,6.8,0
CN0807300000000,8,73,Lincoln County, CO,10/1/2020,2615,2508,107,4.1,0
CN0807500000000,8,75,Logan County, CO,10/1/2020,11793,11293,500,4.2,0
CN0807700000000,8,77,Mesa County, CO,10/1/2020,77068,72245,4823,6.3,0
CN0807900000000,8,79,Mineral County, CO,10/1/2020,416,396,20,4.8,0
CN0808100000000,8,81,Moffat County, CO,10/1/2020,7537,7200,337,4.5,0
CN0808300000000,8,83,Montezuma County, CO,10/1/2020,13310,12565,745,5.6,0
CN0808500000000,8,85,Montrose County, CO,10/1/2020,22619,21393,1226,5.4,0
CN0808700000000,8,87,Morgan County, CO,10/1/2020,17471,16604,867,5,0
CN0808900000000,8,89,Otero County, CO,10/1/2020,8864,8353,511,5.8,0
CN0809100000000,8,91,Ouray County, CO,10/1/2020,2626,2482,144,5.5,0
CN0809300000000,8,93,Park County, CO,10/1/2020,11219,10662,557,5,0
CN0809500000000,8,95,Phillips County, CO,10/1/2020,2826,2773,53,1.9,0
CN0809700000000,8,97,Pitkin County, CO,10/1/2020,10898,10048,850,7.8,0
CN0809900000000,8,99,Prowers County, CO,10/1/2020,6815,6531,284,4.2,0
CN0810100000000,8,101,Pueblo County, CO,10/1/2020,79040,72553,6487,8.2,0
CN0810300000000,8,103,Rio Blanco County, CO,10/1/2020,3172,3028,144,4.5,0
CN0810500000000,8,105,Rio Grande County, CO,10/1/2020,6066,5752,314,5.2,0
CN0810700000000,8,107,Routt County, CO,10/1/2020,15897,14978,919,5.8,0
CN0810900000000,8,109,Saguache County, CO,10/1/2020,3796,3582,214,5.6,0
CN0811100000000,8,111,San Juan County, CO,10/1/2020,523,503,20,3.8,0
CN0811300000000,8,113,San Miguel County, CO,10/1/2020,4889,4495,394,8.1,0
CN0811500000000,8,115,Sedgwick County, CO,10/1/2020,1298,1256,42,3.2,0
CN0811700000000,8,117,Summit County, CO,10/1/2020,20810,19267,1543,7.4,0
CN0811900000000,8,119,Teller County, CO,10/1/2020,13012,12232,780,6,0
CN0812100000000,8,121,Washington County, CO,10/1/2020,3284,3203,81,2.5,0
CN0812300000000,8,123,Weld County, CO,10/1/2020,170319,158847,11472,6.7,0
CN0812500000000,8,125,Yuma County, CO,10/1/2020,6423,6272,151,2.4,0
CN0900100000000,9,1,Fairfield County, CT,10/1/2020,456078,419821,36257,7.9,0
CN0900300000000,9,3,Hartford County, CT,10/1/2020,468421,430547,37874,8.1,0
CN0900500000000,9,5,Litchfield County, CT,10/1/2020,99966,93756,6210,6.2,0
CN0900700000000,9,7,Middlesex County, CT,10/1/2020,90802,85355,5447,6,0
CN0900900000000,9,9,New Haven County, CT,10/1/2020,453712,417919,35793,7.9,0
CN0901100000000,9,11,New London County, CT,10/1/2020,129837,118474,11363,8.8,0
CN0901300000000,9,13,Tolland County, CT,10/1/2020,82674,78130,4544,5.5,0
CN0901500000000,9,15,Windham County, CT,10/1/2020,60390,56056,4334,7.2,0
CN1000100000000,10,1,Kent County, DE,10/1/2020,78434,74011,4423,5.6,0
CN1000300000000,10,3,New Castle County, DE,10/1/2020,295320,279688,15632,5.3,0
CN1000500000000,10,5,Sussex County, DE,10/1/2020,106252,101702,4550,4.3,0
CN1100100000000,11,1,District of Columbia,10/1/2020,405870,372532,33338,8.2,0,
CN1200100000000,12,1,Alachua County, FL,10/1/2020,136717,131398,5319,3.9,1
CN1200300000000,12,3,Baker County, FL,10/1/2020,11943,11472,471,3.9,1
CN1200500000000,12,5,Bay County, FL,10/1/2020,83198,79879,3319,4,1
CN1200700000000,12,7,Bradford County, FL,10/1/2020,10961,10489,472,4.3,1
